time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-03 00:00:00+00:00,19,9,0,0
2026-02-04 00:00:00+00:00,20,4,0,0
2026-02-05 00:00:00+00:00,13,7,0,0
2026-02-06 00:00:00+00:00,19,9,0,0
2026-02-07 00:00:00+00:00,5,3,0,0
2026-02-08 00:00:00+00:00,12,6,0,0
2026-02-09 00:00:00+00:00,10,4,0,0
2026-02-10 00:00:00+00:00,1,1,0,0
2026-02-11 00:00:00+00:00,25,7,0,0
2026-02-12 00:00:00+00:00,31,9,0,0
2026-02-13 00:00:00+00:00,11,6,0,0
2026-02-14 00:00:00+00:00,2,2,0,0
2026-02-15 00:00:00+00:00,7,5,0,0
2026-02-16 00:00:00+00:00,13,7,0,0
